run_date,tool,tool_version,round,run_no,outcome,time_sec,tokens,human_interventions,blind_reviewer_note
,claude-code,,1,1,,,,,
,claude-code,,1,2,,,,,
,claude-code,,1,3,,,,,
,codex,,1,1,,,,,
,codex,,1,2,,,,,
,codex,,1,3,,,,,
,claude-code,,2,1,,,,,
,claude-code,,2,2,,,,,
,claude-code,,2,3,,,,,
,codex,,2,1,,,,,
,codex,,2,2,,,,,
,codex,,2,3,,,,,
,claude-code,,3,1,,,,,
,claude-code,,3,2,,,,,
,claude-code,,3,3,,,,,
,codex,,3,1,,,,,
,codex,,3,2,,,,,
,codex,,3,3,,,,,
,claude-code,,4,1,,,,,
,claude-code,,4,2,,,,,
,claude-code,,4,3,,,,,
,codex,,4,1,,,,,
,codex,,4,2,,,,,
,codex,,4,3,,,,,
,claude-code,,5,1,,,,,
,claude-code,,5,2,,,,,
,claude-code,,5,3,,,,,
,codex,,5,1,,,,,
,codex,,5,2,,,,,
,codex,,5,3,,,,,
,claude-code,,6,1,,,,,
,claude-code,,6,2,,,,,
,claude-code,,6,3,,,,,
,codex,,6,1,,,,,
,codex,,6,2,,,,,
,codex,,6,3,,,,,
,claude-code,,7,1,,,,,
,claude-code,,7,2,,,,,
,claude-code,,7,3,,,,,
,codex,,7,1,,,,,
,codex,,7,2,,,,,
,codex,,7,3,,,,,
,claude-code,,8,1,,,,,
,claude-code,,8,2,,,,,
,claude-code,,8,3,,,,,
,codex,,8,1,,,,,
,codex,,8,2,,,,,
,codex,,8,3,,,,,
,claude-code,,9,1,,,,,
,claude-code,,9,2,,,,,
,claude-code,,9,3,,,,,
,codex,,9,1,,,,,
,codex,,9,2,,,,,
,codex,,9,3,,,,,
